output_file,content_file,style_file,part,model_name,temperature,content_score,time_pitch_diff,onset.duration,onset.velocity,onset.drum_drums
Zilo.Verse-Synthwave #6 in A.mapped.Verse.D_T09.mid,Zilo.Verse.mid,Synthwave #6 in A.mapped.Verse.mid,Verse,Drums,0.9,0.4063930864413547,0.8060615731192462,0.8691177689599011,0.7477336277936992,
Zilo.Verse-Synthwave #5 in Am.mapped.Verse.D_T09.mid,Zilo.Verse.mid,Synthwave #5 in Am.mapped.Verse.mid,Verse,Drums,0.9,0.3824813958842076,0.5732049643136445,0.9057787831653156,0.6035051924175168,0.2598596385368366
Zilo.Verse-Alternative Hip Hop #2 in G#m.mapped.Verse.D_T09.mid,Zilo.Verse.mid,Alternative Hip Hop #2 in G#m.mapped.Verse.mid,Verse,Drums,0.9,0.4709493724289502,0.6057855735372055,0.02380197111288651,0.5072383130938536,0.0
Zilo.Verse-Synthwave #3 in Bb.mapped.Verse.D_T01.mid,Zilo.Verse.mid,Synthwave #3 in Bb.mapped.Verse.mid,Verse,Drums,0.1,0.34446657424299265,0.6461818693965188,0.899602795404677,0.8259662113867476,0.0
Zilo.Verse-Alternative Hip Hop #2 in G#m.mapped.Verse.D_T01.mid,Zilo.Verse.mid,Alternative Hip Hop #2 in G#m.mapped.Verse.mid,Verse,Drums,0.1,0.4317124976103885,0.5990396122560915,0.016664744328220293,0.48272441737951,
Zilo.Verse-Synthwave #4 in Bb.mapped.Verse.D_T01.mid,Zilo.Verse.mid,Synthwave #4 in Bb.mapped.Verse.mid,Verse,Drums,0.1,0.3998257193266928,0.7554187462755594,0.4599952790069507,0.32209209165706243,
Zilo.Verse-Teen Pop #4 in Bb.mapped.Verse.D_T01.mid,Zilo.Verse.mid,Teen Pop #4 in Bb.mapped.Verse.mid,Verse,Drums,0.1,0.3890738689469778,0.8954442480001772,0.9741426704606098,0.650929274336155,0.4123930494211612
Zilo.Verse-Synthwave #6 in A.mapped.Verse.D_T01.mid,Zilo.Verse.mid,Synthwave #6 in A.mapped.Verse.mid,Verse,Drums,0.1,0.39622501068438254,0.7724261910674086,0.8548294352382271,0.6863741372146622,
Zilo.Verse-Synthwave #2 in Gm.mapped.Verse.D_T01.mid,Zilo.Verse.mid,Synthwave #2 in Gm.mapped.Verse.mid,Verse,Drums,0.1,0.3910715334913367,0.558508046658543,0.5214363949996241,0.6057226263129687,0.41522630811417005
Zilo.Verse-Synthwave #5 in Am.mapped.Verse.D_T01.mid,Zilo.Verse.mid,Synthwave #5 in Am.mapped.Verse.mid,Verse,Drums,0.1,0.3473412397525761,0.5626450084469162,0.9108992021293842,0.6569340567994807,0.5930672165988065
Zilo.Verse-Synthwave #5 in Am.mapped.Verse.D_T06.mid,Zilo.Verse.mid,Synthwave #5 in Am.mapped.Verse.mid,Verse,Drums,0.6,0.36954595908709603,0.5699082448344193,0.8973438730643315,0.6719381625317307,0.4397994971335427
Zilo.Verse-Synthwave #3 in Bb.mapped.Verse.D_T06.mid,Zilo.Verse.mid,Synthwave #3 in Bb.mapped.Verse.mid,Verse,Drums,0.6,0.3790918583052259,0.6082916560262169,0.8797009645596826,0.8251488789531289,0.08340576562282986
Zilo.Verse-Alternative Hip Hop #2 in G#m.mapped.Verse.D_T06.mid,Zilo.Verse.mid,Alternative Hip Hop #2 in G#m.mapped.Verse.mid,Verse,Drums,0.6,0.4652675310100012,0.5885950895790616,0.014628334068476412,0.4822607306208071,
Zilo.Verse-Synthwave #2 in Gm.mapped.Verse.D_T06.mid,Zilo.Verse.mid,Synthwave #2 in Gm.mapped.Verse.mid,Verse,Drums,0.6,0.38865978548387387,0.552556883476507,0.614169626412659,0.6023293344682212,0.15861031714362894
Zilo.Verse-Synthwave #6 in A.mapped.Verse.D_T06.mid,Zilo.Verse.mid,Synthwave #6 in A.mapped.Verse.mid,Verse,Drums,0.6,0.41463547521655997,0.7493470553668727,0.8479141180062427,0.7222148222524303,
Zilo.Verse-Teen Pop #4 in Bb.mapped.Verse.D_T06.mid,Zilo.Verse.mid,Teen Pop #4 in Bb.mapped.Verse.mid,Verse,Drums,0.6,0.39778182967036574,0.9202348472852487,0.9794529045353586,0.6505908655405579,0.40656246788536743
Zilo.Verse-Synthwave #4 in Bb.mapped.Verse.D_T06.mid,Zilo.Verse.mid,Synthwave #4 in Bb.mapped.Verse.mid,Verse,Drums,0.6,0.38691026144255536,0.672724786883895,0.7103505199232549,0.749017133508535,
Zilo.Verse-Synthwave #3 in Bb.mapped.Verse.D_T025.mid,Zilo.Verse.mid,Synthwave #3 in Bb.mapped.Verse.mid,Verse,Drums,0.25,0.3790353225054468,0.6445443581616356,0.8833290491203201,0.8256399441730639,0.0
Zilo.Verse-Synthwave #5 in Am.mapped.Verse.D_T025.mid,Zilo.Verse.mid,Synthwave #5 in Am.mapped.Verse.mid,Verse,Drums,0.25,0.3851901361323281,0.5676719252636717,0.9065911570687478,0.5869018941675881,0.5930672165988065
Zilo.Verse-Synthwave #4 in Bb.mapped.Verse.D_T025.mid,Zilo.Verse.mid,Synthwave #4 in Bb.mapped.Verse.mid,Verse,Drums,0.25,0.3966739021531966,0.7647931746508677,0.6815804590577456,0.8802582181502489,
Zilo.Verse-Alternative Hip Hop #2 in G#m.mapped.Verse.D_T025.mid,Zilo.Verse.mid,Alternative Hip Hop #2 in G#m.mapped.Verse.mid,Verse,Drums,0.25,0.4215900002086084,0.5988045433444029,0.017177095969779455,0.4877363201183804,
Zilo.Verse-Synthwave #6 in A.mapped.Verse.D_T025.mid,Zilo.Verse.mid,Synthwave #6 in A.mapped.Verse.mid,Verse,Drums,0.25,0.39598787826797377,0.7504971999839065,0.8501237578020485,0.6828121466325187,
Zilo.Verse-Synthwave #2 in Gm.mapped.Verse.D_T025.mid,Zilo.Verse.mid,Synthwave #2 in Gm.mapped.Verse.mid,Verse,Drums,0.25,0.3907174084177674,0.5548762393391445,0.5278702410973825,0.6055253225206616,0.41522630811417005
Zilo.Verse-Teen Pop #4 in Bb.mapped.Verse.D_T025.mid,Zilo.Verse.mid,Teen Pop #4 in Bb.mapped.Verse.mid,Verse,Drums,0.25,0.40936572103499186,0.9116530352899828,0.9760163603434523,0.650929274336155,0.41186804214347705
Zilo.Verse-Synthwave #3 in Bb.mapped.Verse.D_T04.mid,Zilo.Verse.mid,Synthwave #3 in Bb.mapped.Verse.mid,Verse,Drums,0.4,0.376207309056461,0.6349581373325712,0.8598484116272167,0.8249369696020464,0.04089304100547653
Zilo.Verse-Synthwave #5 in Am.mapped.Verse.D_T04.mid,Zilo.Verse.mid,Synthwave #5 in Am.mapped.Verse.mid,Verse,Drums,0.4,0.37416442333061395,0.5653418220392582,0.9079930486473359,0.5939661075600619,0.5930672165988065
Zilo.Verse-Synthwave #2 in Gm.mapped.Verse.D_T04.mid,Zilo.Verse.mid,Synthwave #2 in Gm.mapped.Verse.mid,Verse,Drums,0.4,0.38940574521244886,0.5626699174567602,0.5836622779046345,0.6077898640875581,0.3794004646718856
Zilo.Verse-Teen Pop #4 in Bb.mapped.Verse.D_T04.mid,Zilo.Verse.mid,Teen Pop #4 in Bb.mapped.Verse.mid,Verse,Drums,0.4,0.4070008549261449,0.8925400394389803,0.9692901285252716,0.6505908655405579,0.4285495643554835
Zilo.Verse-Synthwave #6 in A.mapped.Verse.D_T04.mid,Zilo.Verse.mid,Synthwave #6 in A.mapped.Verse.mid,Verse,Drums,0.4,0.3952095191257162,0.7873241655773593,0.8501237578020485,0.6828121466325187,
Zilo.Verse-Alternative Hip Hop #2 in G#m.mapped.Verse.D_T04.mid,Zilo.Verse.mid,Alternative Hip Hop #2 in G#m.mapped.Verse.mid,Verse,Drums,0.4,0.4415995091005878,0.5926653761624523,0.015950906715264224,0.48413030715297034,
Zilo.Verse-Synthwave #4 in Bb.mapped.Verse.D_T04.mid,Zilo.Verse.mid,Synthwave #4 in Bb.mapped.Verse.mid,Verse,Drums,0.4,0.41954025385419347,0.7508556414030576,0.7018431203599016,0.8940315848015701,
