output_file,content_file,style_file,part,model_name,temperature,content_score,time_pitch_diff,onset.duration,onset.velocity,onset.drum_drums,copy_original_drums
Synthwave #3 in Bb.mapped.Pre_Chorus-Synthwave #3 in Bb.mapped.Pre_Chorus.DV_T01_orig_drums.mid,Synthwave #3 in Bb.mapped.Pre_Chorus.mid,Synthwave #3 in Bb.mapped.Pre_Chorus.mid,Pre_Chorus,Drums and Velocity,0.1,0.9926895721601614,0.15048147496645348,,0.583459965991578,1.0,True
Alternative Hip Hop #2 in G#m.mapped.Verse-Alternative Hip Hop #2 in G#m.mapped.Verse.DV_T01_orig_drums.mid,Alternative Hip Hop #2 in G#m.mapped.Verse.mid,Alternative Hip Hop #2 in G#m.mapped.Verse.mid,Verse,Drums and Velocity,0.1,0.3435717050042722,0.480254088134733,0.14401421366668465,0.9000494546254187,1.0,True
Synthwave #2 in Gm.mapped.Verse-Synthwave #2 in Gm.mapped.Verse.DV_T01_orig_drums.mid,Synthwave #2 in Gm.mapped.Verse.mid,Synthwave #2 in Gm.mapped.Verse.mid,Verse,Drums and Velocity,0.1,0.7797005327809955,0.8552996572440168,0.43653727320565416,0.8224416837798024,1.0,True
Teen Pop #4 in Bb.mapped.Pre_Chorus-Teen Pop #4 in Bb.mapped.Pre_Chorus.DV_T01_orig_drums.mid,Teen Pop #4 in Bb.mapped.Pre_Chorus.mid,Teen Pop #4 in Bb.mapped.Pre_Chorus.mid,Pre_Chorus,Drums and Velocity,0.1,0.5304786003548814,0.8241402086397882,0.9217390417378175,0.6845986232735529,1.0,True
Synthwave #3 in Bb.mapped.Verse-Synthwave #3 in Bb.mapped.Verse.DV_T01_orig_drums.mid,Synthwave #3 in Bb.mapped.Verse.mid,Synthwave #3 in Bb.mapped.Verse.mid,Verse,Drums and Velocity,0.1,0.8887420145188051,0.9130530413639133,0.7940463816207163,0.3511855252704874,1.0,True
Synthwave #5 in Am.mapped.Verse-Synthwave #5 in Am.mapped.Verse.DV_T01_orig_drums.mid,Synthwave #5 in Am.mapped.Verse.mid,Synthwave #5 in Am.mapped.Verse.mid,Verse,Drums and Velocity,0.1,0.8829556723826006,0.9369178122490066,0.9557102331333247,0.911153594361666,1.0,True
Teen Pop #4 in Bb.mapped.Chorus-Teen Pop #4 in Bb.mapped.Chorus.DV_T01_orig_drums.mid,Teen Pop #4 in Bb.mapped.Chorus.mid,Teen Pop #4 in Bb.mapped.Chorus.mid,Chorus,Drums and Velocity,0.1,0.6793317980817617,0.8873315564485398,0.8766959029419866,0.9089283557541034,1.0,True
Synthwave #6 in A.mapped.Pre_Chorus-Synthwave #6 in A.mapped.Pre_Chorus.DV_T01_orig_drums.mid,Synthwave #6 in A.mapped.Pre_Chorus.mid,Synthwave #6 in A.mapped.Pre_Chorus.mid,Pre_Chorus,Drums and Velocity,0.1,0.5642241559619332,0.9262143378569497,0.7998472838163913,0.6548860700696475,1.0,True
Synthwave #3 in Bb.mapped.Chorus-Synthwave #3 in Bb.mapped.Chorus.DV_T01_orig_drums.mid,Synthwave #3 in Bb.mapped.Chorus.mid,Synthwave #3 in Bb.mapped.Chorus.mid,Chorus,Drums and Velocity,0.1,0.8303774470167518,0.9384561333950885,0.6969221591763294,0.28012735956992474,1.0,True
Synthwave #6 in A.mapped.Chorus-Synthwave #6 in A.mapped.Chorus.DV_T01_orig_drums.mid,Synthwave #6 in A.mapped.Chorus.mid,Synthwave #6 in A.mapped.Chorus.mid,Chorus,Drums and Velocity,0.1,0.24690691296413558,0.5624826394734393,0.7380546922466562,0.5720235477487134,,True
